bp,rp
1379.06628806965,1383.05544941283
-565.94823642746,-20.4454752870448
923.696530643134,913.045544047476
-685.559423851291,-46.2637029910352
798.280591074597,726.152200982834
-738.502865485345,-71.3369697138523
821.203158320767,614.813745006203
-730.530607216977,-94.2739181331967
758.665590829392,532.098184436824
-668.20835834568,-131.334688910103
702.868322452632,462.356296868464
-602.451769137294,-161.262012144997
567.304098276552,401.931983400889
-437.166214957281,-177.351551296519
379.274536685446,341.773451736842
-226.089386015686,-161.999626546245
139.79584257373,263.816463688918
-18.5017567620509,-129.70136691801
-15.2989453432828,184.086504566438
79.3883735007121,-87.9827172291088
-51.5683725215642,120.474964658792
21.4956064213085,-54.6413314335398
38.978067135222,66.719104665191
-49.0297257622344,-18.261997334504
59.3264220996544,23.9124782855005
-40.8179211071738,4.4175768880277
21.2129052888906,11.4369363753495
17.3169170555959,-1.55354299583833
-19.9111857624034,22.3719886322219
9.34215119919955,-14.5336307464744
17.7033143872343,25.9527800310689
-27.0701208086426,-8.94020517527945
31.4711717699337,9.51109298190225
-11.6001165389387,4.08826757365081
0.0701863453448457,6.82176335039439
11.4757743208389,-2.53254029493801
-1.23206716253086,12.9128230682372
-7.35394334031221,-6.65079074119832
19.729467797385,10.0939735884847
-16.1866148867019,-1.79669635713271
10.1460240835995,5.97227154208397
3.2739913878185,-0.620937255856749
-2.13366948599664,5.93737296812661
-3.45058068458998,-1.92747773515381
12.6426817779674,6.84914327223208
-12.6139760806539,-1.12021657008881
8.04062162102753,4.55853080342303
-2.20514905295676,-0.539016866262673
-1.74449513867849,2.93147297526853
-2.0394760169415,0.0341614910833487
3.42691473624767,1.29426837015929
-5.61011261003411,0.54888058209011
0.261036231263672,0.146272862781272
0.751667330308826,0.591941834828026
-2.76386339589484,-0.0432009446024766
